,Plot 2 (FL2-A/FSC-H),,
,Q1-UL,Q1-UR,Q1-LR
A01,0,0,91
A02,1,0,462
A03,1,1,570
A04,0,2,459
A05,1,1,601
A06,0,0,568
A07,1,1,373
A08,0,0,246
A09,0,1,176
A10,0,0,266
A11,0,1,191
A12,0,2,68
B01,310,"9,102","7,285"
B02,"1,272","7,033","4,587"
B03,245,"7,839","6,696"
B04,51,"2,911","4,927"
B05,64,"3,556","5,432"
B06,32,"2,550","4,592"
B07,0,270,"1,398"
B08,1,336,"1,647"
B09,0,314,"1,745"
B10,0,116,"1,163"
B11,0,98,"1,052"
B12,0,101,938
C01,368,153,530
C02,352,197,689
C03,310,231,"1,113"
C04,354,78,230
C05,213,294,"1,492"
C06,225,238,"1,391"
C07,32,43,155
C08,50,31,138
C09,69,35,130
C10,58,19,59
C11,71,15,56
C12,69,14,54
D01,2,0,26
D02,0,4,13
D03,0,0,18
D04,2,0,5
D05,0,0,5
D06,1,1,11
D07,0,0,2
D08,2,0,1
D09,1,0,1
D10,0,1,2
D11,0,2,1
D12,0,0,1
E01,1,1,2
E02,0,1,5
E03,1,4,5
E04,0,0,2
E05,1,0,3
E06,0,1,3
E07,1,1,1
E08,0,1,1
E09,2,0,0
E10,0,0,0
E11,1,2,0
E12,0,1,0
F01,1,"4,367",547
F02,7,"6,687","1,046"
F03,0,"2,990",345
F04,1,955,175
F05,0,604,87
F06,3,473,96
F07,1,69,43
F08,0,100,62
F09,0,433,315
F10,0,195,224
F11,1,192,204
F12,0,150,157
G01,19,49,541
G02,13,42,521
G03,8,24,430
G04,3,19,253
G05,4,14,273
G06,3,7,306
G07,0,2,52
G08,0,2,122
G09,0,4,105
G10,0,4,115
G11,2,3,100
G12,1,5,80
H01,73,637,744
H02,124,931,816
H03,56,564,662
H04,12,228,574
H05,11,183,438
H06,9,155,421
H07,3,87,148
H08,5,94,176
H09,5,212,248
H10,3,97,109
H11,4,145,138
H12,1,90,124
