,Plot 3 (FL2-A/FSC-H),,
,Q1-UL,Q1-UR,Q1-LR
A01,2,2,402
A02,1,1,405
A03,1,0,0
A04,2,0,4
A05,1,1,4
A06,0,2,8
A07,0,0,2
A08,0,0,0
A09,0,0,0
B01,0,32,281
B02,1,27,267
B03,0,24,258
B04,1,0,7
B05,1,1,3
B06,0,0,2
B07,0,0,1
B08,0,0,0
B09,2,0,1
C01,84,10,8
C02,83,25,8
C03,58,23,14
C04,32,10,9
C05,24,7,8
C06,17,9,7
C07,3,1,3
C08,9,0,1
C09,8,3,1
D01,0,0,0
D02,0,0,0
D03,0,0,0
D04,1,1,3
D05,1,0,3
D06,0,0,2
D07,0,1,1
D08,1,0,0
D09,1,0,0
E01,0,2,1
E02,1,0,0
E03,0,1,0
E04,3,1,2
E05,0,1,3
E06,1,1,0
E07,2,1,0
E08,0,0,1
E09,0,0,0
F01,1,46,35
F02,0,51,41
F03,0,34,35
F04,0,0,4
F05,0,0,2
F06,2,2,7
F07,1,0,0
F08,0,0,1
F09,0,0,1
G01,0,0,61
G02,0,0,40
G03,1,0,33
G04,0,0,5
G05,3,0,2
G06,2,0,5
G07,1,0,0
G08,0,1,0
G09,0,0,1
H01,2,28,52
H02,3,30,36
H03,5,23,36
H04,0,0,4
H05,0,0,4
H06,3,0,6
H07,0,0,1
H08,0,2,2
H09,0,0,1
