,1,2,3,4,5,6,7,8,9,10,11,12,Plate
A,0.045,0.041,0.044,0.044,0.044,0.042,0.056,0.042,0.044,0.045,0.047,0.049,A
B,0.047,0.05,0.049,0.044,0.047,0.045,0.042,0.043,0.042,0.047,0.048,0.047,A
C,0.044,0.043,0.043,0.044,0.05,0.048,0.042,0.043,0.042,0.048,0.049,0.045,A
D,0.041,0.042,0.043,0.044,0.043,0.044,0.047,0.041,0.042,0.046,0.048,0.045,A
E,0.041,0.041,0.043,0.047,0.045,0.045,0.044,0.042,0.042,0.045,0.046,0.044,A
F,0.043,0.042,0.043,0.046,0.046,0.046,0.043,0.045,0.042,0.044,0.047,0.047,A
G,0.042,0.042,0.046,0.043,0.047,0.042,0.041,0.042,0.042,0.045,0.045,0.047,A
H,0.046,0.046,0.046,0.045,0.048,0.043,0.041,0.042,0.046,0.045,0.046,0.047,A
A,0.072,0.077,0.08,0.063,0.062,0.061,0.043,0.043,0.046,0.043,0.043,0.046,B
B,0.085,0.076,0.071,0.064,0.064,0.078,0.049,0.043,0.044,0.045,0.046,0.047,B
C,0.05,0.05,0.048,0.046,0.048,0.047,0.042,0.044,0.044,0.045,0.046,0.045,B
D,0.045,0.043,0.043,0.043,0.042,0.042,0.043,0.041,0.043,0.043,0.043,0.042,B
E,0.042,0.043,0.045,0.044,0.042,0.043,0.044,0.041,0.042,0.042,0.042,0.042,B
F,0.064,0.072,0.075,0.067,0.062,0.062,0.046,0.048,0.045,0.043,0.044,0.044,B
G,0.059,0.061,0.065,0.056,0.06,0.059,0.044,0.044,0.046,0.043,0.043,0.044,B
H,0.079,0.085,0.083,0.078,0.077,0.077,0.051,0.05,0.052,0.054,0.054,0.052,B
